trip_day,trip_counts
01/01/2016,242
01/02/2016,221
01/03/2016,245
01/04/2016,277
01/05/2016,325
01/06/2016,461
01/07/2016,536
01/08/2016,538
01/09/2016,327
01/10/2016,121
01/11/2016,492
01/12/2016,488
01/13/2016,427
01/14/2016,469
01/15/2016,520
01/16/2016,260
01/17/2016,269
01/18/2016,201
01/19/2016,292
01/20/2016,420
01/21/2016,410
01/22/2016,425
01/23/2016,159
01/24/2016,193
01/25/2016,463
01/26/2016,568
01/27/2016,620
01/28/2016,617
01/29/2016,600
01/30/2016,438
01/31/2016,431
02/01/2016,851
02/02/2016,816
02/03/2016,565
02/04/2016,802
02/05/2016,133
02/06/2016,258
02/07/2016,316
02/08/2016,117
02/09/2016,374
02/10/2016,473
02/11/2016,515
02/12/2016,416
02/13/2016,171
02/14/2016,95
02/15/2016,201
02/16/2016,381
02/17/2016,669
02/18/2016,619
02/19/2016,605
02/20/2016,614
02/21/2016,540
02/22/2016,746
02/23/2016,701
02/24/2016,378
02/25/2016,725
02/26/2016,644
02/27/2016,462
02/28/2016,630
02/29/2016,826
03/01/2016,829
03/02/2016,580
03/03/2016,754
03/04/2016,657
03/05/2016,650
03/06/2016,662
03/07/2016,1042
03/08/2016,1336
03/09/2016,1874
03/10/2016,987
03/11/2016,1499
03/12/2016,1622
03/13/2016,1613
03/14/2016,1124
03/15/2016,512
03/16/2016,1693
03/17/2016,1684
03/18/2016,1651
03/19/2016,1189
03/20/2016,752
03/21/2016,919
03/22/2016,1725
03/23/2016,2154
03/24/2016,1732
03/25/2016,1136
03/26/2016,1347
03/27/2016,1110
03/28/2016,978
03/29/2016,2073
03/30/2016,2538
03/31/2016,2855
04/01/2016,2892
04/02/2016,888
04/03/2016,729
04/04/2016,450
04/05/2016,1189
04/06/2016,1848
04/07/2016,1238
04/08/2016,2252
04/09/2016,1644
04/10/2016,1686
04/11/2016,2151
04/12/2016,2300
04/13/2016,3086
04/14/2016,3151
04/15/2016,3458
04/16/2016,2834
04/17/2016,3872
04/18/2016,3813
04/19/2016,3363
04/20/2016,3843
04/21/2016,4594
04/22/2016,4098
04/23/2016,2842
04/24/2016,3222
04/25/2016,3865
04/26/2016,2503
04/27/2016,4279
04/28/2016,4296
04/29/2016,4291
04/30/2016,3585
05/01/2016,1984
05/02/2016,2110
05/03/2016,2363
05/04/2016,2855
05/05/2016,2365
05/06/2016,3622
05/07/2016,2153
05/08/2016,2066
05/09/2016,4058
05/10/2016,4888
05/11/2016,5442
05/12/2016,5710
05/13/2016,4578
05/14/2016,4973
05/15/2016,3005
05/16/2016,4060
05/17/2016,5275
05/18/2016,5363
05/19/2016,5229
05/20/2016,5521
05/21/2016,4489
05/22/2016,3670
05/23/2016,5324
05/24/2016,3820
05/25/2016,5930
05/26/2016,5859
05/27/2016,5728
05/28/2016,4258
05/29/2016,3920
05/30/2016,2708
05/31/2016,5934
06/01/2016,6017
06/02/2016,5533
06/03/2016,5449
06/04/2016,4992
06/05/2016,1636
06/06/2016,5766
06/07/2016,5480
06/08/2016,5614
06/09/2016,5758
06/10/2016,5753
06/11/2016,3310
06/12/2016,4156
06/13/2016,5405
06/14/2016,6024
06/15/2016,6091
06/16/2016,6375
06/17/2016,6230
06/18/2016,5225
06/19/2016,4834
06/20/2016,6143
06/21/2016,6365
06/22/2016,6503
06/23/2016,6676
06/24/2016,6376
06/25/2016,5181
06/26/2016,4837
06/27/2016,6070
06/28/2016,5137
06/29/2016,5549
06/30/2016,6182
07/01/2016,5453
07/02/2016,4682
07/03/2016,5062
07/04/2016,5398
07/05/2016,4599
07/06/2016,6040
07/07/2016,6259
07/08/2016,5684
07/09/2016,3908
07/10/2016,3202
07/11/2016,6275
07/12/2016,6617
07/13/2016,6026
07/14/2016,5963
07/15/2016,5714
07/16/2016,4488
07/17/2016,4801
07/18/2016,5188
07/19/2016,6905
07/20/2016,6858
07/21/2016,6457
07/22/2016,5732
07/23/2016,3985
07/24/2016,4503
07/25/2016,6027
07/26/2016,6195
07/27/2016,6424
07/28/2016,6415
07/29/2016,4947
07/30/2016,4623
07/31/2016,2955
08/01/2016,5952
08/02/2016,5434
08/03/2016,6713
08/04/2016,6522
08/05/2016,6327
08/06/2016,4333
08/07/2016,4934
08/08/2016,6483
08/09/2016,6949
08/10/2016,4872
08/11/2016,5731
08/12/2016,4963
08/13/2016,4608
08/14/2016,3663
08/15/2016,5815
08/16/2016,5861
08/17/2016,5983
08/18/2016,5907
08/19/2016,6053
08/20/2016,4811
08/21/2016,4590
08/22/2016,5793
08/23/2016,6257
08/24/2016,6156
08/25/2016,6016
08/26/2016,5562
08/27/2016,4424
08/28/2016,4620
08/29/2016,6030
08/30/2016,6560
08/31/2016,6276
09/01/2016,5421
09/02/2016,5930
09/03/2016,4734
09/04/2016,5119
09/05/2016,3719
09/06/2016,4301
09/07/2016,5529
09/08/2016,6257
09/09/2016,6198
09/10/2016,5995
09/11/2016,4494
09/12/2016,6409
09/13/2016,6870
09/14/2016,6410
09/15/2016,6785
09/16/2016,6570
09/17/2016,5401
09/18/2016,4218
09/19/2016,3994
09/20/2016,6274
09/21/2016,6659
09/22/2016,6659
09/23/2016,6099
09/24/2016,4681
09/25/2016,4244
09/26/2016,6032
09/27/2016,5182
09/28/2016,5243
09/29/2016,5621
09/30/2016,4642
10/01/2016,1526
10/02/2016,2599
10/03/2016,5807
10/04/2016,5918
10/05/2016,5889
10/06/2016,6000
10/07/2016,6023
10/08/2016,4183
10/09/2016,570
10/10/2016,4164
10/11/2016,5650
10/12/2016,5397
10/13/2016,5669
10/14/2016,5561
10/15/2016,3875
10/16/2016,3848
10/17/2016,6139
10/18/2016,5752
10/19/2016,6318
10/20/2016,5741
10/21/2016,4580
10/22/2016,2326
10/23/2016,3284
10/24/2016,5235
10/25/2016,4644
10/26/2016,4636
10/27/2016,3106
10/28/2016,3055
10/29/2016,2943
10/30/2016,2908
10/31/2016,4519
11/01/2016,4832
11/02/2016,5468
11/03/2016,4322
11/04/2016,4763
11/05/2016,3454
11/06/2016,2485
11/07/2016,4154
11/08/2016,4808
11/09/2016,4447
11/10/2016,4439
11/11/2016,3796
11/12/2016,2663
11/13/2016,2943
11/14/2016,4538
11/15/2016,2472
11/16/2016,4408
11/17/2016,4561
11/18/2016,4812
11/19/2016,3344
11/20/2016,1875
11/21/2016,3013
11/22/2016,3197
11/23/2016,2546
11/24/2016,853
11/25/2016,1075
11/26/2016,1511
11/27/2016,1600
11/28/2016,3237
11/29/2016,2116
11/30/2016,2178
12/01/2016,2159
12/02/2016,1593
12/03/2016,2604
12/04/2016,2487
12/05/2016,1633
12/06/2016,1517
12/07/2016,2531
12/08/2016,2299
12/09/2016,2502
12/10/2016,2658
12/11/2016,2697
12/12/2016,1782
12/13/2016,1435
12/14/2016,2133
12/15/2016,2307
12/16/2016,2287
12/17/2016,1442
12/18/2016,1863
12/19/2016,788
