trip_dayAndHour,trip_counts
01/01/2016 00,13
01/01/2016 01,14
01/01/2016 02,9
01/01/2016 03,1
01/01/2016 06,1
01/01/2016 07,3
01/01/2016 08,3
01/01/2016 09,6
01/01/2016 10,12
01/01/2016 11,15
01/01/2016 12,10
01/01/2016 13,20
01/01/2016 14,11
01/01/2016 15,20
01/01/2016 16,24
01/01/2016 17,11
01/01/2016 18,20
01/01/2016 19,19
01/01/2016 20,10
01/01/2016 21,6
01/01/2016 22,8
01/01/2016 23,6
01/02/2016 00,5
01/02/2016 01,2
01/02/2016 06,1
01/02/2016 07,8
01/02/2016 08,5
01/02/2016 09,5
01/02/2016 10,10
01/02/2016 11,21
01/02/2016 12,17
01/02/2016 13,20
01/02/2016 14,15
01/02/2016 15,24
01/02/2016 16,11
01/02/2016 17,21
01/02/2016 18,15
01/02/2016 19,12
01/02/2016 20,8
01/02/2016 21,11
01/02/2016 22,5
01/02/2016 23,5
01/03/2016 00,4
01/03/2016 01,1
01/03/2016 02,4
01/03/2016 03,1
01/03/2016 05,2
01/03/2016 07,3
01/03/2016 08,3
01/03/2016 09,4
01/03/2016 10,21
01/03/2016 11,22
01/03/2016 12,24
01/03/2016 13,21
01/03/2016 14,16
01/03/2016 15,26
01/03/2016 16,23
01/03/2016 17,14
01/03/2016 18,8
01/03/2016 19,19
01/03/2016 20,10
01/03/2016 21,8
01/03/2016 22,5
01/03/2016 23,6
01/04/2016 00,2
01/04/2016 01,1
01/04/2016 06,4
01/04/2016 07,9
01/04/2016 08,39
01/04/2016 09,24
01/04/2016 10,9
01/04/2016 11,12
01/04/2016 12,15
01/04/2016 13,6
01/04/2016 14,8
01/04/2016 15,11
01/04/2016 16,26
01/04/2016 17,41
01/04/2016 18,19
01/04/2016 19,15
01/04/2016 20,18
01/04/2016 21,10
01/04/2016 22,4
01/04/2016 23,4
01/05/2016 00,1
01/05/2016 01,2
01/05/2016 06,5
01/05/2016 07,12
01/05/2016 08,30
01/05/2016 09,25
01/05/2016 10,12
01/05/2016 11,15
01/05/2016 12,16
01/05/2016 13,17
01/05/2016 14,12
01/05/2016 15,15
01/05/2016 16,20
01/05/2016 17,39
01/05/2016 18,47
01/05/2016 19,18
01/05/2016 20,17
01/05/2016 21,16
01/05/2016 22,4
01/05/2016 23,2
01/06/2016 00,2
01/06/2016 01,2
01/06/2016 02,1
01/06/2016 06,7
01/06/2016 07,16
01/06/2016 08,41
01/06/2016 09,33
01/06/2016 10,22
01/06/2016 11,13
01/06/2016 12,20
01/06/2016 13,20
01/06/2016 14,23
01/06/2016 15,21
01/06/2016 16,44
01/06/2016 17,64
01/06/2016 18,56
01/06/2016 19,34
01/06/2016 20,21
01/06/2016 21,9
01/06/2016 22,8
01/06/2016 23,4
01/07/2016 00,3
01/07/2016 01,1
01/07/2016 02,1
01/07/2016 06,9
01/07/2016 07,30
01/07/2016 08,61
01/07/2016 09,46
01/07/2016 10,30
01/07/2016 11,31
01/07/2016 12,30
01/07/2016 13,23
01/07/2016 14,28
01/07/2016 15,29
01/07/2016 16,42
01/07/2016 17,69
01/07/2016 18,33
01/07/2016 19,21
01/07/2016 20,20
01/07/2016 21,8
01/07/2016 22,14
01/07/2016 23,7
01/08/2016 00,2
01/08/2016 01,3
01/08/2016 02,1
01/08/2016 05,2
01/08/2016 06,7
01/08/2016 07,27
01/08/2016 08,54
01/08/2016 09,38
01/08/2016 10,23
01/08/2016 11,28
01/08/2016 12,32
01/08/2016 13,30
01/08/2016 14,33
01/08/2016 15,25
01/08/2016 16,53
01/08/2016 17,58
01/08/2016 18,49
01/08/2016 19,28
01/08/2016 20,25
01/08/2016 21,7
01/08/2016 22,7
01/08/2016 23,6
01/09/2016 00,7
01/09/2016 01,5
01/09/2016 03,1
01/09/2016 05,1
01/09/2016 06,2
01/09/2016 07,3
01/09/2016 08,4
01/09/2016 09,12
01/09/2016 10,11
01/09/2016 11,20
01/09/2016 12,22
01/09/2016 13,29
01/09/2016 14,24
01/09/2016 15,28
01/09/2016 16,33
01/09/2016 17,20
01/09/2016 18,30
01/09/2016 19,22
01/09/2016 20,18
01/09/2016 21,13
01/09/2016 22,10
01/09/2016 23,12
01/10/2016 00,5
01/10/2016 01,4
01/10/2016 02,2
01/10/2016 06,1
01/10/2016 07,1
01/10/2016 08,4
01/10/2016 09,6
01/10/2016 10,2
01/10/2016 11,3
01/10/2016 12,3
01/10/2016 13,2
01/10/2016 14,2
01/10/2016 15,5
01/10/2016 16,12
01/10/2016 17,12
01/10/2016 18,11
01/10/2016 19,11
01/10/2016 20,14
01/10/2016 21,8
01/10/2016 22,9
01/10/2016 23,4
01/11/2016 00,3
01/11/2016 01,2
01/11/2016 05,1
01/11/2016 06,6
01/11/2016 07,22
01/11/2016 08,48
01/11/2016 09,46
01/11/2016 10,17
01/11/2016 11,22
01/11/2016 12,24
01/11/2016 13,23
01/11/2016 14,21
01/11/2016 15,23
01/11/2016 16,44
01/11/2016 17,51
01/11/2016 18,42
01/11/2016 19,40
01/11/2016 20,21
01/11/2016 21,24
01/11/2016 22,7
01/11/2016 23,5
01/12/2016 01,2
01/12/2016 02,1
01/12/2016 04,1
01/12/2016 06,4
01/12/2016 07,24
01/12/2016 08,72
01/12/2016 09,38
01/12/2016 10,13
01/12/2016 11,17
01/12/2016 12,31
01/12/2016 13,14
01/12/2016 14,22
01/12/2016 15,29
01/12/2016 16,53
01/12/2016 17,71
01/12/2016 18,43
01/12/2016 19,20
01/12/2016 20,14
01/12/2016 21,11
01/12/2016 22,7
01/12/2016 23,1
01/13/2016 00,2
01/13/2016 02,2
